,col,coef
58,Neighborhood_Crawfor,0.11091719456215685
74,Neighborhood_StoneBr,0.06971329228088693
68,Neighborhood_NridgHt,0.06795662806972555
3,OverallQual,0.06748760451852452
37,MSZoning_RL,0.06114550308546057
16,BsmtFullBath,0.05803311025285355
24,GarageCars,0.05676255342875703
73,Neighborhood_Somerst,0.05494681446393529
78,Condition1_Norm,0.05470622705656621
59,Neighborhood_Edwards,0.04972073833236571
177,BsmtFinType1_Unf,0.044273104246448265
228,SaleType_New,0.043859660023173826
67,Neighborhood_NoRidge,0.043560894236482246
47,LotConfig_CulDSac,0.04233438547069482
234,SaleCondition_Normal,0.04224312273909751
4,OverallCond,0.040240209419500746
122,Exterior1st_BrkFace,0.03903757155013618
35,MSZoning_FV,0.038037907379577074
160,Foundation_PConc,0.03569354593962254
23,Fireplaces,0.03509506012724523
192,CentralAir_Y,0.034834933356807804
61,Neighborhood_IDOTRR,0.03461972677842886
205,Functional_Typ,0.03334328159191127
182,BsmtFinType2_Unf,0.03200382375507742
170,BsmtExposure_Gd,0.03196196771149947
18,FullBath,0.03117346846072159
100,HouseStyle_2Story,0.024991081015648876
56,Neighborhood_ClearCr,0.024601217478696185
51,LandSlope_Mod,0.023158345577170537
55,Neighborhood_BrkSide,0.023040803220942676
206,GarageType_Attchd,0.021770610019314882
88,Condition2_PosN,0.02169873207867044
169,BsmtCond_TA,0.0210778572807991
199,KitchenQual_TA,0.0209693807078588
130,Exterior1st_Stucco,0.020440984751089634
94,BldgType_Twnhs,0.01972947126334707
198,KitchenQual_Gd,0.019466031684653995
17,BsmtHalfBath,0.017529931246899194
41,LotShape_IR3,0.016208975139122103
191,HeatingQC_TA,0.015543670241824162
19,HalfBath,0.015451335032657968
158,ExterCond_TA,0.0140775166281843
127,Exterior1st_MetalSd,0.01341860818217988
153,ExterQual_Gd,0.0127990337923809
21,KitchenAbvGr,0.012155089897898378
230,SaleType_WD,0.010823364993252893
60,Neighborhood_Gilbert,0.009956060659818215
189,HeatingQC_Gd,0.008872104080141573
20,BedroomAbvGr,0.008788514880391826
212,GarageFinish_Unf,0.008589152922300504
22,TotRmsAbvGrd,0.007859633198761087
34,YrSold,0.007531137933815456
151,MasVnrType_Stone,0.007437937986157606
178,BsmtFinType2_BLQ,0.007407894726281555
125,Exterior1st_HdBoard,0.007306159068081816
165,BsmtQual_Gd,0.007148051502807436
220,GarageCond_TA,0.006972675493730437
172,BsmtExposure_No,0.005369435555487753
174,BsmtFinType1_GLQ,0.005258999554328068
45,LandContour_Lvl,0.005242489293907264
222,PavedDrive_Y,0.004877620633929747
69,Neighborhood_OldTown,0.004679484745838403
128,Exterior1st_Plywood,0.004486795356494475
173,BsmtFinType1_BLQ,0.004405951528800253
103,RoofStyle_Gable,0.004271636032133709
108,RoofStyle_Gable,0.004271355556747243
235,SaleCondition_Partial,0.004260278044529747
50,LotConfig_Inside,0.0035930004433786847
166,BsmtQual_TA,0.0021349394056185537
42,LotShape_Reg,0.0021010619013290357
167,BsmtCond_Gd,0.0018278218925147996
33,MoSold,0.001735844841350377
5,YearBuilt,0.0016515280906230121
6,YearRemodAdd,0.0011974121185971832
132,Exterior1st_Wd Sdng,0.0009699163165780853
